               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12328,            0.037074,                   0,           0.0013333,            0.066667,           0.0014112,          0.00017568,             0.12616,            0.029923,                   0,              0.0964,              0.0004,              0.0004
                   1,             0.11827,             0.03663,                   0,           0.0026667,             0.13333,           0.0028553,          0.00037597,             0.11956,            0.030156,                   0,             0.09189,           0.0008901,           0.0008901
                   2,             0.11554,            0.036652,                   0,           0.0023641,             0.13333,            0.006964,           0.0013715,              0.1099,            0.030874,                   0,            0.087369,           0.0013692,           0.0013692
                   3,             0.10933,            0.036727,                   0,           0.0021212,             0.23333,           0.0015288,          0.00038324,            0.098471,            0.029385,                   0,            0.082837,           0.0018373,           0.0018373
                   4,              0.1045,            0.035564,                   0,           0.0033333,                 0.4,           0.0036171,          0.00082932,             0.10063,            0.028222,                   0,            0.078294,           0.0022944,           0.0022944
                   5,            0.095466,            0.034375,                   0,           0.0038889,             0.46667,           0.0081253,           0.0019547,            0.094246,            0.029362,                   0,            0.073741,           0.0027405,           0.0027405
                   6,            0.099355,            0.035326,                   0,           0.0044444,             0.53333,             0.01175,           0.0021073,            0.089729,            0.029019,                   0,            0.069176,           0.0031756,           0.0031756
                   7,            0.094747,            0.040938,                   0,             0.05123,                 0.1,            0.076248,           0.0091523,            0.089656,            0.028636,                   0,              0.0646,           0.0035997,           0.0035997
                   8,            0.094012,            0.043553,                   0,             0.20596,             0.16667,             0.12467,            0.016009,            0.085375,             0.02901,                   0,            0.060013,           0.0040128,           0.0040128
                   9,            0.089887,            0.039627,                   0,             0.21274,                 0.1,            0.089519,            0.018877,            0.085277,            0.028252,                   0,            0.055415,           0.0044149,           0.0044149
                  10,            0.084763,             0.04188,                   0,             0.19823,             0.13333,             0.09207,            0.029521,            0.081261,            0.027914,                   0,            0.050806,            0.004806,            0.004806
                  11,            0.086784,             0.04097,                   0,             0.18549,             0.16667,            0.087024,            0.014816,            0.080171,            0.027096,                   0,            0.046186,           0.0051861,           0.0051861
                  12,            0.084265,              0.0365,                   0,             0.22255,                 0.3,             0.14264,            0.036351,              0.0745,            0.028016,                   0,            0.041555,           0.0055552,           0.0055552
                  13,            0.080064,            0.042878,                   0,             0.22255,                 0.3,             0.14264,            0.036351,              0.0745,            0.028016,                   0,            0.036913,           0.0059133,           0.0059133
                  14,            0.080727,            0.042672,                   0,              0.3252,                 0.4,             0.26924,            0.065379,            0.069705,            0.028129,                   0,             0.03226,           0.0062604,           0.0062604
                  15,            0.076847,            0.040818,                   0,             0.23761,             0.33333,             0.20563,            0.037293,            0.070157,              0.0261,                   0,            0.027596,           0.0065965,           0.0065965
                  16,            0.073301,            0.034947,                   0,            0.054128,             0.36667,            0.050611,            0.013468,            0.075262,             0.02707,                   0,            0.022922,           0.0069216,           0.0069216
                  17,            0.079317,            0.042716,                   0,            0.054128,             0.36667,            0.050611,            0.013468,            0.075262,             0.02707,                   0,            0.018236,           0.0072357,           0.0072357
                  18,            0.077825,            0.033063,                   0,             0.44457,                 0.1,             0.14347,            0.030641,            0.075688,            0.028575,                   0,            0.013539,           0.0075388,           0.0075388
                  19,            0.073298,            0.033103,                   0,             0.23252,             0.36667,             0.21597,            0.066374,            0.075075,            0.028915,                   0,           0.0088309,           0.0078309,           0.0078309
                  20,            0.075612,            0.041961,                   0,             0.23252,             0.36667,             0.21597,            0.066374,            0.075075,            0.028915,                   0,              0.0078,              0.0078,              0.0078
