               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.039043,             0.02485,                   0,               0.886,             0.77746,              0.8676,             0.42404,            0.041421,            0.016907,                   0,              0.0838,              0.0018,              0.0018
                   1,            0.040461,            0.028227,                   0,             0.92034,             0.73333,             0.87667,              0.3897,            0.042782,            0.016499,                   0,            0.066639,            0.003639,            0.003639
                   2,            0.043734,            0.024924,                   0,              0.4641,             0.63333,             0.51419,             0.18748,            0.054622,            0.015467,                   0,            0.049415,           0.0054152,           0.0054152
                   3,            0.062526,            0.026005,                   0,              0.4641,             0.63333,             0.51419,             0.18748,            0.054622,            0.015467,                   0,            0.032129,           0.0071287,           0.0071287
                   4,            0.058144,            0.021677,                   0,             0.34185,             0.76667,               0.372,             0.13721,              0.0573,            0.016204,                   0,             0.01478,           0.0087796,           0.0087796
                   5,            0.056714,            0.019904,                   0,             0.35714,                 0.6,             0.37614,             0.13339,            0.062003,            0.015731,                   0,            0.009175,            0.009175,            0.009175
                   6,            0.067669,             0.02175,                   0,             0.35714,                 0.6,             0.37614,             0.13339,            0.062003,            0.015731,                   0,            0.009175,            0.009175,            0.009175
                   7,            0.053795,            0.023136,                   0,             0.52893,             0.86094,             0.59882,             0.24028,            0.046983,            0.018084,                   0,             0.00901,             0.00901,             0.00901
                   8,            0.047326,             0.02621,                   0,             0.52893,             0.86094,             0.59882,             0.24028,            0.046983,            0.018084,                   0,            0.008845,            0.008845,            0.008845
                   9,            0.045502,            0.022244,                   0,              0.6759,             0.62585,             0.61266,             0.27011,            0.047048,            0.019248,                   0,             0.00868,             0.00868,             0.00868
                  10,            0.044442,            0.028585,                   0,             0.40448,                 0.8,             0.54745,             0.24551,            0.047866,            0.017179,                   0,            0.008515,            0.008515,            0.008515
                  11,            0.046087,            0.024425,                   0,             0.40448,                 0.8,             0.54745,             0.24551,            0.047866,            0.017179,                   0,             0.00835,             0.00835,             0.00835
                  12,            0.047558,            0.025009,                   0,             0.68283,             0.78962,              0.7165,              0.2715,            0.045011,            0.017059,                   0,            0.008185,            0.008185,            0.008185
                  13,            0.047336,            0.024489,                   0,             0.68283,             0.78962,              0.7165,              0.2715,            0.045011,            0.017059,                   0,             0.00802,             0.00802,             0.00802
                  14,            0.042773,            0.022376,                   0,             0.76028,             0.74021,             0.73277,             0.26662,            0.046551,            0.016835,                   0,            0.007855,            0.007855,            0.007855
                  15,            0.042854,            0.023389,                   0,             0.63804,             0.76392,              0.6439,             0.27097,            0.044516,            0.016653,                   0,             0.00769,             0.00769,             0.00769
                  16,             0.04364,            0.022121,                   0,             0.63804,             0.76392,              0.6439,             0.27097,            0.044516,            0.016653,                   0,            0.007525,            0.007525,            0.007525
                  17,            0.041848,            0.022733,                   0,             0.60469,             0.76667,             0.65864,             0.28396,            0.044558,            0.017052,                   0,             0.00736,             0.00736,             0.00736
                  18,            0.046087,            0.023348,                   0,             0.60469,             0.76667,             0.65864,             0.28396,            0.044558,            0.017052,                   0,            0.007195,            0.007195,            0.007195
                  19,            0.048051,             0.02522,                   0,             0.69704,                 0.8,             0.80401,             0.34635,            0.043858,            0.017026,                   0,             0.00703,             0.00703,             0.00703
                  20,            0.042529,            0.025225,                   0,             0.55296,             0.61871,             0.59098,             0.21698,            0.049376,            0.017092,                   0,            0.006865,            0.006865,            0.006865
                  21,            0.052259,            0.026646,                   0,             0.55296,             0.61871,             0.59098,             0.21698,            0.049376,            0.017092,                   0,              0.0067,              0.0067,              0.0067
                  22,            0.052864,             0.02255,                   0,             0.76035,             0.63458,             0.75244,             0.27154,            0.044674,            0.017078,                   0,            0.006535,            0.006535,            0.006535
                  23,            0.047726,            0.025489,                   0,             0.76035,             0.63458,             0.75244,             0.27154,            0.044674,            0.017078,                   0,             0.00637,             0.00637,             0.00637
                  24,             0.04683,            0.026964,                   0,             0.77256,             0.67965,             0.78203,             0.31091,            0.042678,            0.017399,                   0,            0.006205,            0.006205,            0.006205
                  25,             0.04302,            0.024993,                   0,             0.77256,             0.67965,             0.78203,             0.31091,            0.042678,            0.017399,                   0,             0.00604,             0.00604,             0.00604
                  26,            0.046522,            0.028183,                   0,             0.77613,                 0.7,             0.79372,             0.32653,            0.042461,            0.017597,                   0,            0.005875,            0.005875,            0.005875
                  27,            0.039213,            0.022548,                   0,             0.86593,                 0.7,             0.83488,             0.28834,            0.042122,             0.01779,                   0,             0.00571,             0.00571,             0.00571
